FSDT rectangular plate eigen big mesh
MODE    EIGENVALUE          FREQUENCY
   1   2.5373799930e+12   1.5929155637e+06
   2   2.5373688928e+12   1.5929120794e+06
   3   2.4933514170e+12   1.5790349638e+06
   4   2.4913735019e+12   1.5784085345e+06
   5   2.4211786470e+12   1.5560137040e+06
   6   2.4159800461e+12   1.5543423195e+06
   7   2.4111199526e+12   1.5527781402e+06
   8   2.4092091553e+12   1.5521627348e+06
   9   2.3674377761e+12   1.5386480352e+06
  10   2.3674313677e+12   1.5386459527e+06
